PANTONE NAME	C	M	Y	K	
PANTONE 221 CHC	0	100	23	34	221
PANTONE 222 CHC	0	100	15	55	222
PANTONE 223 CHC	0	48	0	0	223
PANTONE 224 CHC	2	70	0	0	224
PANTONE 225 CHC	4	92	0	0	225
PANTONE 226 CHC	0	100	4	5	226
PANTONE 227 CHC	0	100	6	22	227
PANTONE 228 CHC	0	100	10	40	228
PANTONE 229 CHC	0	100	15	60	229
PANTONE 230 CHC	0	45	0	0	230
PANTONE 231 CHC	3	68	0	0	231
PANTONE 232 CHC	3	80	0	0	232
PANTONE Rhodamine Red CHC	5	97	0	0	Rhodamine Red
PANTONE 233 CHC	8	100	0	2	233
PANTONE 234 CHC	5	100	0	21	234
PANTONE 235 CHC	0	100	0	37	235
PANTONE 236 CHC	1	40	0	0	236
PANTONE 237 CHC	3	56	0	0	237
PANTONE 238 CHC	8	74	0	0	238
PANTONE 239 CHC	11	93	0	0	239
PANTONE 240 CHC	17	100	0	0	240
PANTONE 241 CHC	14	100	0	17	241
PANTONE 242 CHC	5	100	0	46	242
PANTONE 2365 CHC	0	28	0	0	2365
PANTONE 2375 CHC	9	67	0	0	2375
PANTONE 2385 CHC	15	90	0	0	2385
PANTONE 2395 CHC	22	100	0	0	2395
PANTONE 2405 CHC	20	100	0	16	2405
PANTONE 2415 CHC	19	100	0	25	2415
PANTONE 2425 CHC	20	100	0	37	2425
PANTONE 243 CHC	3	31	0	0	243
PANTONE 244 CHC	6	41	0	0	244
PANTONE 245 CHC	11	55	0	0	245
PANTONE 246 CHC	26	100	0	0	246
PANTONE 247 CHC	31	100	0	2	247
PANTONE 248 CHC	32	100	0	6	248
PANTONE 249 CHC	24	100	0	35	249
PANTONE 250 CHC	6	28	0	0	250
PANTONE 251 CHC	13	48	0	0	251
PANTONE 252 CHC	22	67	0	0	252
PANTONE Purple CHC	35	90	0	0	Purple
PANTONE 253 CHC	41	100	0	0	253
PANTONE 254 CHC	43	100	0	4	254
PANTONE 255 CHC	42	100	0	24	255
PANTONE 256 CHC	8	27	0	0	256
PANTONE 257 CHC	18	47	0	0	257
PANTONE 258 CHC	41	90	0	0	258
PANTONE 259 CHC	42	100	0	22	259
PANTONE 260 CHC	41	100	0	33	260
PANTONE 261 CHC	40	100	0	44	261
PANTONE 262 CHC	38	100	0	53	262
PANTONE 2562 CHC	15	36	0	0	2562
PANTONE 2572 CHC	25	53	0	0	2572
PANTONE 2582 CHC	43	82	0	0	2582
PANTONE 2592 CHC	55	100	0	0	2592
PANTONE 2602 CHC	57	100	0	5	2602
PANTONE 2612 CHC	55	100	0	15	2612
PANTONE 2622 CHC	47	100	0	43	2622
PANTONE 2563 CHC	21	44	0	0	2563
PANTONE 2573 CHC	33	62	0	0	2573
PANTONE 2583 CHC	45	81	0	0	2583
PANTONE 2593 CHC	57	100	0	4	2593
PANTONE 2603 CHC	58	100	0	14	2603
PANTONE 2613 CHC	59	100	0	24	2613
PANTONE 2623 CHC	56	100	0	34	2623
PANTONE 2567 CHC	29	46	0	0	2567
PANTONE 2577 CHC	42	64	0	0	2577
PANTONE 2587 CHC	58	85	0	0	2587
PANTONE 2597 CHC	74	100	0	0	2597
PANTONE 2607 CHC	72	100	0	14	2607
PANTONE 2617 CHC	70	100	0	25	2617
PANTONE 2627 CHC	74	100	0	32	2627
PANTONE 263 CHC	11	19	0	0	263
PANTONE 264 CHC	26	38	0	0	264
PANTONE 265 CHC	53	71	0	0	265
PANTONE 266 CHC	74	100	0	0	266
PANTONE 267 CHC	76	100	0	6	267
PANTONE 268 CHC	75	100	0	21	268
PANTONE 269 CHC	72	100	0	40	269
PANTONE 2635 CHC	22	30	0	0	2635
PANTONE 2645 CHC	31	41	0	0	2645
PANTONE 2655 CHC	42	57	0	0	2655
PANTONE 2665 CHC	65	81	0	0	2665
PANTONE Violet CHC	81	100	0	0	Violet
PANTONE 2685 CHC	83	100	0	10	2685
PANTONE 2695 CHC	85	100	0	33	2695
PANTONE 270 CHC	31	36	0	0	270
PANTONE 271 CHC	44	50	0	0	271
PANTONE 272 CHC	59	65	0	0	272
PANTONE 273 CHC	94	100	0	7	273
PANTONE 274 CHC	96	100	0	20	274
PANTONE 275 CHC	100	100	0	30	275
PANTONE 276 CHC	100	100	0	52	276
PANTONE 2705 CHC	33	34	0	0	2705
PANTONE 2715 CHC	45	47	0	0	2715
PANTONE 2725 CHC	60	61	0	0	2725
PANTONE 2735 CHC	95	100	0	0	2735
PANTONE 2745 CHC	96	100	0	6	2745
PANTONE 2755 CHC	97	100	0	16	2755
PANTONE 2765 CHC	100	100	0	26	2765
PANTONE 2706 CHC	19	17	0	0	2706
PANTONE 2716 CHC	42	38	0	0	2716
PANTONE 2726 CHC	75	69	0	0	2726
PANTONE 2736 CHC	94	88	0	0	2736
PANTONE 2746 CHC	100	98	0	0	2746
PANTONE 2756 CHC	100	95	0	14	2756
PANTONE 2766 CHC	100	85	0	35	2766
PANTONE 2707 CHC	21	14	0	0	2707
PANTONE 2717 CHC	32	23	0	0	2717
PANTONE 2727 CHC	78	58	0	0	2727
PANTONE Blue 072 CHC	100	91	0	0	Blue 072
PANTONE 2747 CHC	100	90	0	24	2747
PANTONE 2757 CHC	100	87	0	36	2757
PANTONE 2767 CHC	100	77	0	57	2767
PANTONE 2708 CHC	27	19	0	0	2708
PANTONE 2718 CHC	64	47	0	0	2718
PANTONE 2728 CHC	85	66	0	0	2728
PANTONE 2738 CHC	100	90	0	3	2738
PANTONE 2748 CHC	100	90	0	19	2748
PANTONE 2758 CHC	100	85	0	32	2758
PANTONE 2768 CHC	100	77	0	52	2768
PANTONE 277 CHC	24	13	0	0	277
PANTONE 278 CHC	39	23	0	0	278
PANTONE 279 CHC	68	44	0	0	279
PANTONE Reflex Blue CHC	100	82	0	6	Reflex Blue
PANTONE 280 CHC	100	82	0	21	280
PANTONE 281 CHC	100	76	0	33	281
PANTONE 282 CHC	100	61	0	58	282
PANTONE 283 CHC	33	13	0	0	283
PANTONE 284 CHC	45	22	0	0	284
PANTONE 285 CHC	80	42	0	0	285
PANTONE 286 CHC	100	65	0	4	286
PANTONE 287 CHC	100	67	0	18	287
PANTONE 288 CHC	100	61	0	33	288
PANTONE 289 CHC	100	48	0	68	289
PANTONE 290 CHC	19	4	0	0	290
PANTONE 291 CHC	26	8	0	0	291
PANTONE 292 CHC	45	17	0	0	292
PANTONE 293 CHC	100	58	0	3	293
PANTONE 294 CHC	100	56	0	26	294
PANTONE 295 CHC	100	49	0	49	295
PANTONE 296 CHC	100	15	0	77	296
PANTONE 2905 CHC	39	9	0	0	2905
PANTONE 2915 CHC	59	17	0	0	2915
PANTONE 2925 CHC	84	34	0	0	2925
PANTONE 2935 CHC	100	55	0	4	2935
PANTONE 2945 CHC	100	50	0	21	2945
PANTONE 2955 CHC	100	43	0	50	2955
PANTONE 2965 CHC	100	14	0	75	2965
PANTONE 297 CHC	46	0	0	0	297
PANTONE 298 CHC	62	3	0	0	298
PANTONE 299 CHC	76	7	0	0	299
PANTONE 300 CHC	100	30	0	4	300
PANTONE 301 CHC	100	29	0	26	301
PANTONE 302 CHC	100	12	0	56	302
PANTONE 303 CHC	100	0	8	70	303
PANTONE 2975 CHC	25	0	2	0	2975
PANTONE 2985 CHC	56	0	3	0	2985
PANTONE 2995 CHC	80	0	2	0	2995
PANTONE 3005 CHC	100	17	0	4	3005
PANTONE 3015 CHC	100	14	0	30	3015
PANTONE 3025 CHC	100	2	0	57	3025
PANTONE 3035 CHC	100	0	16	67	3035
PANTONE 304 CHC	29	0	8	0	304
PANTONE 305 CHC	52	0	9	0	305
PANTONE 306 CHC	76	0	9	0	306
PANTONE Process Blue CHC	100	5	0	7	Process Blue
PANTONE 307 CHC	100	11	0	27	307
PANTONE 308 CHC	100	0	2	48	308
PANTONE 309 CHC	100	0	23	69	309
PANTONE 310 CHC	45	0	12	0	310
PANTONE 311 CHC	64	0	14	0	311
PANTONE 312 CHC	91	0	17	0	312
PANTONE 313 CHC	100	0	16	10	313
PANTONE 314 CHC	100	0	15	25	314
PANTONE 315 CHC	100	0	12	44	315
PANTONE 316 CHC	100	0	33	68	316
PANTONE 3105 CHC	43	0	13	0	3105
PANTONE 3115 CHC	64	0	17	0	3115
PANTONE 3125 CHC	84	0	20	0	3125
PANTONE 3135 CHC	100	0	20	8	3135
PANTONE 3145 CHC	100	0	20	25	3145
PANTONE 3155 CHC	100	0	20	40	3155
PANTONE 3165 CHC	100	0	27	53	3165
PANTONE 317 CHC	21	0	10	0	317
PANTONE 318 CHC	37	0	16	0	318
PANTONE 319 CHC	58	0	22	0	319
PANTONE 320 CHC	100	0	32	9	320
PANTONE 321 CHC	100	0	29	26	321
PANTONE 322 CHC	100	0	31	36	322
PANTONE 323 CHC	100	0	36	46	323
PANTONE 324 CHC	33	0	17	0	324
PANTONE 325 CHC	57	0	26	0	325
PANTONE 326 CHC	83	0	38	0	326
PANTONE 327 CHC	100	0	46	20	327
PANTONE 328 CHC	100	0	43	35	328
PANTONE 329 CHC	100	0	44	43	329
PANTONE 330 CHC	100	0	52	57	330
PANTONE 3242 CHC	36	0	20	0	3242
PANTONE 3252 CHC	49	0	26	0	3252
PANTONE 3262 CHC	72	0	36	0	3262
PANTONE 3272 CHC	100	0	48	0	3272
PANTONE 3282 CHC	100	0	48	15	3282
PANTONE 3292 CHC	100	0	53	44	3292
PANTONE 3302 CHC	100	0	63	59	3302
PANTONE 3245 CHC	35	0	21	0	3245
PANTONE 3255 CHC	50	0	30	0	3255
PANTONE 3265 CHC	69	0	42	0	3265
PANTONE 3275 CHC	92	0	52	0	3275
PANTONE 3285 CHC	100	0	55	3	3285
PANTONE 3295 CHC	100	0	56	26	3295
PANTONE 3305 CHC	100	0	74	62	3305
PANTONE 3248 CHC	47	0	26	0	3248
PANTONE 3258 CHC	65	0	37	0	3258
PANTONE 3268 CHC	88	0	50	0	3268
PANTONE 3278 CHC	100	0	54	4	3278
PANTONE 3288 CHC	100	0	54	25	3288
PANTONE 3298 CHC	100	0	56	40	3298
PANTONE 3308 CHC	100	0	73	70	3308
PANTONE 331 CHC	23	0	17	0	331
PANTONE 332 CHC	33	0	23	0	332
PANTONE 333 CHC	49	0	34	0	333
PANTONE Green CHC	95	0	60	0	Green
PANTONE 334 CHC	100	0	65	8	334
PANTONE 335 CHC	100	0	66	21	335
PANTONE 336 CHC	100	0	76	36	336
PANTONE 337 CHC	38	0	28	0	337
PANTONE 338 CHC	46	0	33	0	338
PANTONE 339 CHC	80	0	56	0	339
PANTONE 340 CHC	100	0	68	5	340
PANTONE 341 CHC	100	0	70	25	341
PANTONE 342 CHC	100	0	76	38	342
PANTONE 343 CHC	100	0	81	55	343
PANTONE 3375 CHC	34	0	28	0	3375
PANTONE 3385 CHC	48	0	39	0	3385
PANTONE 3395 CHC	63	0	50	0	3395
PANTONE 3405 CHC	89	0	70	0	3405
PANTONE 3415 CHC	100	0	88	24	3415
PANTONE 3425 CHC	100	0	92	37	3425
PANTONE 3435 CHC	100	0	98	60	3435
PANTONE 344 CHC	28	0	25	0	344
PANTONE 345 CHC	38	0	35	0	345
PANTONE 346 CHC	51	0	46	0	346
PANTONE 347 CHC	100	0	88	0	347
PANTONE 348 CHC	100	0	92	17	348
PANTONE 349 CHC	100	0	98	37	349
PANTONE 350 CHC	79	0	95	66	350
PANTONE 351 CHC	24	0	25	0	351
PANTONE 352 CHC	30	0	31	0	352
PANTONE 353 CHC	39	0	42	0	353
PANTONE 354 CHC	81	0	85	0	354
PANTONE 355 CHC	93	0	98	0	355
PANTONE 356 CHC	95	0	100	20	356
PANTONE 357 CHC	83	0	100	51	357
PANTONE 358 CHC	29	0	43	0	358
PANTONE 359 CHC	36	0	51	0	359
PANTONE 360 CHC	59	0	81	0	360
PANTONE 361 CHC	74	0	98	0	361
PANTONE 362 CHC	71	0	100	11	362
PANTONE 363 CHC	71	0	100	22	363
PANTONE 364 CHC	70	0	100	32	364
PANTONE 365 CHC	18	0	40	0	365
PANTONE 366 CHC	24	0	47	0	366
PANTONE 367 CHC	33	0	58	0	367
PANTONE 368 CHC	64	0	100	0	368
PANTONE 369 CHC	64	0	100	12	369
PANTONE 370 CHC	60	0	100	25	370
PANTONE 371 CHC	40	0	100	57	371
PANTONE 372 CHC	14	0	39	0	372
PANTONE 373 CHC	21	0	55	0	373
PANTONE 374 CHC	29	0	67	0	374
PANTONE 375 CHC	41	0	86	0	375
PANTONE 376 CHC	52	0	100	3	376
PANTONE 377 CHC	52	0	100	20	377
PANTONE 378 CHC	36	0	100	57	378
PANTONE 379 CHC	12	0	56	0	379
PANTONE 380 CHC	17	0	69	0	380
PANTONE 381 CHC	20	0	82	0	381
PANTONE 382 CHC	29	0	96	0	382
PANTONE 383 CHC	30	0	100	16	383
PANTONE 384 CHC	28	0	100	29	384
PANTONE 385 CHC	13	0	100	56	385
PANTONE 386 CHC	8	0	55	0	386
PANTONE 387 CHC	12	0	61	0	387
PANTONE 388 CHC	16	0	73	0	388
PANTONE 389 CHC	21	0	89	0	389
PANTONE 390 CHC	28	0	100	6	390
PANTONE 391 CHC	22	0	100	31	391
PANTONE 392 CHC	14	0	100	44	392
PANTONE 393 CHC	3	0	52	0	393
PANTONE 394 CHC	6	0	68	0	394
PANTONE 395 CHC	10	0	79	0	395
PANTONE 396 CHC	15	0	89	0	396
PANTONE 397 CHC	18	0	100	11	397
PANTONE 398 CHC	16	0	100	24	398
PANTONE 399 CHC	13	0	100	37	399
PANTONE 3935 CHC	1	0	61	0	3935
PANTONE 3945 CHC	4	0	83	0	3945
PANTONE 3955 CHC	8	0	95	0	3955
PANTONE 3965 CHC	12	0	100	0	3965
PANTONE 3975 CHC	9	0	100	26	3975
PANTONE 3985 CHC	6	0	100	41	3985
PANTONE 3995 CHC	0	4	100	64	3995
PANTONE 400 CHC	0	4	12	23	400
PANTONE 401 CHC	0	4	13	30	401
PANTONE 402 CHC	0	5	17	41	402
PANTONE 403 CHC	0	5	20	51	403
PANTONE 404 CHC	0	6	25	61	404
PANTONE 405 CHC	0	10	35	73	405
PANTONE Black CHC	0	18	57	90	Black
PANTONE 406 CHC	0	6	12	24	406
PANTONE 407 CHC	0	9	14	35	407
PANTONE 408 CHC	0	12	16	43	408
PANTONE 409 CHC	0	13	19	51	409
